question number;area;question
1;s;I found it hard to wind down
2;a;I was aware of dryness of my mouth
3;d;I couldn’t seem to experience any positive feeling at all
4;a;I experienced breathing difficulty (e.g. excessively rapid breathing, breathlessness in the absence of physical exertion)
5;d;I found it difficult to work up the initiative to do things
6;s;I tended to over-react to situations
7;a;I experienced trembling (e.g. in the hands)
8;s;I felt that I was using a lot of nervous energy
9;a;I was worried about situations in which I might panic and make a fool of myself
10;d;I felt that I had nothing to look forward to
11;s;I found myself getting agitated
12;s;I found it difficult to relax
13;d;I felt down-hearted and blue
14;s;I was intolerant of anything that kept me from getting on with what I was doing
15;a;I felt I was close to panic
16;d;I was unable to become enthusiastic about anything
17;d;I felt I wasn’t worth much as a person
18;s;I felt that I was rather touchy
19;a;I was aware of the action of my heart in the absence of physical exertion (e.g. sense of heart rate increase, heart missing a beat)
20;a;I felt scared without any good reason
21;d;I felt that life was meaningless
